,,,,,,,,
,Token,Frequency,,,,,Token 2,Frequency
,yeah,2129,,,,,legacy media,266
,tesla,1985,,,,,there no,175
,just,1967,,,,,coming soon,169
,true,1949,,,,,those who,166
,good,1749,,,,,years ago,156
,all,1712,,,,,more than,151
,no,1647,,,,,pretty much,148
,people,1631,,,,,messed up,146
,what,1516,,,,,better than,137
,great,1500,,,,,good question,129
,there,1500,,,,,free speech,128
,should,1497,,,,,good point,128
,more,1444,,,,,next year,124
,like,1444,,,,,next week,122
,would,1349,,,,,right now,119
,exactly,1318,,,,,,
,than,1245,,,,,,
,much,1172,,,,,,
,now,1077,,,,,,
,one,1060,,,,,,
